Time (ms),User Id,Global body mq,Upper body mq,Left arm mq,Right arm mq,Head mq,Left Hand mq,Right Hand mq,User Id,Global body mq,Upper body mq,Left arm mq,Right arm mq,Head mq,Left Hand mq,Right Hand mq
12800,0.000000,173.451477,173.451477,116.539581,35.114098,3.832981,46.838531,13.282529,1.000000,5.061263,5.061263,3.302289,1.592447,0.049778,0.000000,0.020386
12922,0.000000,33.714638,33.714638,1.630677,29.378740,1.403618,0.663748,27.335375,1.000000,4.532725,4.532725,3.101336,1.003786,0.044702,0.000000,0.065671
13022,0.000000,29.587986,29.587986,2.403344,24.540052,1.442603,0.823805,8.829679,1.000000,5.796579,5.796579,4.088187,0.779331,0.437783,0.000000,0.110209
13122,0.000000,24.648003,24.648003,3.800055,18.527489,0.975782,1.153741,10.135209,1.000000,8.905178,8.905178,1.667187,5.895539,0.790605,0.000000,0.143621
13222,0.000000,12.761223,12.761223,2.730592,7.079662,0.858424,0.581145,4.644917,1.000000,13.344602,13.344602,8.029258,3.995839,0.729611,0.000000,0.119220
13290,0.000000,9.122263,9.122263,2.024560,4.920443,0.699977,0.517990,1.458080,1.000000,5.505632,5.505632,1.923500,2.471969,0.485991,0.000000,0.090880
13390,0.000000,7.601289,7.601289,3.074195,2.492616,1.127994,0.900790,0.779050,1.000000,10.062795,10.062795,4.300577,4.750903,0.365722,0.000000,0.060760
13490,0.000000,6.646410,6.646410,1.782418,1.514695,0.976693,0.568495,0.671181,1.000000,5.438614,5.438614,2.531544,1.799558,0.270688,0.000000,0.043842
13600,0.000000,6.057452,6.057452,1.582817,1.750659,1.164005,0.409654,1.138950,1.000000,3.679831,3.679831,1.666216,0.728632,0.207486,0.000000,0.042762
13726,0.000000,5.991239,5.991239,1.644273,1.111234,1.300244,0.311591,0.445749,1.000000,6.088110,6.088110,1.974907,3.225840,0.130982,0.397686,0.031199
13826,0.000000,7.992857,7.992857,1.092622,4.831404,1.082779,0.127297,1.198219,1.000000,6.392588,6.392588,0.761132,5.131009,0.071703,0.120287,0.018092
13900,0.000000,140.826630,140.826630,91.446060,30.336861,4.131283,38.970608,11.374999,1.000000,4.959264,4.959264,0.430309,4.136721,0.057959,0.000000,0.014499
14022,0.000000,139.262817,139.262817,92.231918,29.163893,3.605198,39.103127,11.248457,1.000000,10.309736,10.309736,4.818750,5.200453,0.058515,0.000000,0.013980
14100,0.000000,145.277115,145.277115,94.240601,32.188210,4.277367,40.386543,11.101962,1.000000,7.502182,7.502182,2.032691,5.260437,0.064432,0.000000,0.316883
14186,0.000000,137.698425,137.698425,95.371071,24.212732,4.214231,41.414543,4.351475,1.000000,9.524635,9.524635,4.292538,5.078082,0.056237,0.000000,0.171749
14300,0.000000,6.454645,6.454645,1.149973,3.993437,0.404879,0.505084,0.000000,1.000000,15.037740,15.037740,9.852098,5.009493,0.065829,0.000000,0.074794
14422,0.000000,17.553034,17.553034,1.300745,14.972931,0.376967,0.583118,12.832946,1.000000,15.404705,15.404705,5.452391,9.782508,0.068836,0.000000,0.022667
14522,0.000000,12.396833,12.396833,0.536565,11.038395,0.348855,0.205798,9.145044,1.000000,8.068013,8.068013,2.703849,5.112063,0.094080,0.000000,0.010719
14622,0.000000,6.694723,6.694723,0.636639,5.417323,0.260015,0.214897,1.657095,1.000000,15.196641,15.196641,13.513243,1.480136,0.075561,0.000000,0.013023
14722,0.000000,10.381035,10.381035,6.541193,3.021575,0.316736,2.552566,1.121195,1.000000,13.315567,13.315567,7.191907,5.909437,0.060217,0.000000,0.024412
14822,0.000000,5.206288,5.206288,2.207100,1.799816,0.415245,0.469968,1.378902,1.000000,22.925610,22.925610,10.275709,12.435349,0.037815,0.000000,0.033649
14890,0.000000,3.766193,3.766193,1.163839,1.378143,0.479052,0.242483,0.790243,1.000000,8.552648,8.552648,3.704925,4.086927,0.018622,0.000000,0.042973
14990,0.000000,8.972894,8.972894,6.990367,0.918945,0.573583,3.278481,0.457639,1.000000,11.492725,11.492725,1.490929,9.296685,0.003139,0.000000,0.054536
15100,0.000000,5.349921,5.349921,2.691785,0.553336,0.457493,0.478644,0.294893,1.000000,16.277645,16.277645,10.856835,4.701941,0.126935,0.000000,0.025563
15200,0.000000,142.082306,142.082306,94.224190,32.121227,4.358095,38.629978,10.317538,1.000000,48.686485,48.686485,3.235173,44.334381,0.474423,0.000000,21.997892
15300,0.000000,143.082794,143.082794,96.199158,31.006130,4.799475,41.419262,9.664382,1.000000,32.779610,32.779610,7.361517,24.667084,0.354361,0.000000,18.005714
15400,0.000000,148.984100,148.984100,100.321594,32.157673,5.125406,42.585285,12.187223,1.000000,14.344676,14.344676,4.606034,8.404812,0.630402,0.000000,4.409558
15500,0.000000,150.481689,150.481689,100.712471,32.530106,5.756618,41.237564,14.442769,1.000000,13.412167,13.412167,1.500592,3.694660,0.777611,0.000000,1.431878
15650,0.000000,11.292138,11.292138,6.692067,3.288995,0.553072,0.273008,1.283912,1.000000,10.825233,10.825233,1.582265,4.080912,0.549210,0.000000,0.123476
15786,0.000000,14.592987,14.592987,1.890944,10.503275,1.329783,0.282603,3.860129,1.000000,3.411459,3.411459,0.712144,1.521216,0.200360,0.000000,0.473836
15900,0.000000,18.347389,18.347389,11.128794,3.648853,1.895955,7.849500,1.041302,1.000000,26.127604,26.127604,0.366015,24.670332,0.085752,0.000000,0.405035
16022,0.000000,12.194804,12.194804,4.922213,1.817601,2.311282,1.689684,0.443753,1.000000,22.564945,22.564945,5.561565,14.806947,0.037798,0.000000,0.240987
16122,0.000000,14.158045,14.158045,8.339590,1.083507,2.324764,5.730225,0.258305,1.000000,7.562943,7.562943,1.009257,5.517035,0.010246,0.000000,0.080009
16218,0.000000,17.124874,17.124874,6.904152,6.347759,1.647951,4.455373,3.141885,1.000000,3.784464,3.784464,1.961587,0.689297,0.032650,0.000000,0.039093
