Time (ms),x1,x2,x3,x4,x5
50600,0.14061,0.76082,-0.35078,0.19481,-0.29269
50800,-0.0048844,-0.27776,0.28569,0.38974,0.94335
51000,0.34217,-0.14491,0.48767,0.15734,0.93063
51200,0.22371,0.42695,0.33255,-0.47077,-0.42907
51400,-0.060698,-0.49071,-0.25041,-0.51974,-0.21071
51600,-0.21533,-0.84301,-0.68692,0.10316,1.011
51800,-0.028083,-0.1307,-0.41616,0.4964,1.9727
52000,-0.29875,0.99933,0.45917,0.31223,1.9159
52200,-0.2924,0.15429,0.45104,-0.27844,0.62574
52400,-0.066562,0.0065837,-0.044327,-0.66815,-1.5083
52600,0.12467,0.046641,-0.2935,-0.17586,-2.6366
52800,-0.013804,0.15153,0.0050833,0.4107,-2.1757
53000,-0.33505,-0.56923,0.25231,0.22525,-1.0952
53200,-0.38816,-0.3515,0.046301,-0.00071486,0.18897
53400,-0.38515,-0.43812,-0.2773,-0.23847,0.19573
53600,-0.21139,-0.36133,-0.23164,-0.17711,1.0208
53800,0.0042366,0.47915,0.28213,0.14335,0.99031
54000,0.13426,0.55255,0.55363,-0.16378,0.84236
54200,0.15962,0.45035,0.16685,-0.06017,-0.3467
54400,0.33798,-0.45486,-0.40978,0.0061351,-0.67314
54600,0.21457,0.0033973,-0.28373,0.32094,-0.50451
54800,0.28941,-0.045213,0.091779,-0.054908,-0.17674
55000,0.17631,0.10544,0.37238,-0.32462,0.24333
55200,0.6862,-0.24034,0.11209,0.033851,0.014065
55400,0.46193,0.14284,0.16702,0.51038,0.56523
55600,0.0028223,0.34154,-0.050349,0.30782,-0.5207
55800,0.39016,-0.15302,-0.46507,-0.12142,-0.82231
56000,0.61504,-0.064268,0.0063514,-0.38165,-1.2251
56200,0.22614,-0.016671,0.62347,-0.24557,-1.5428
56400,0.011141,-0.12773,0.17975,0.12533,-1.5699
56600,0.084695,0.020973,-0.49404,0.25433,-0.21501
56800,0.32511,-0.0047339,-0.48205,0.28049,0.48731
57000,0.13574,0.16244,0.28302,-0.15713,1.9751
57200,-0.040915,0.68587,0.53002,-0.55814,1.2877
57400,-0.094572,0.67904,-0.0055911,-0.1589,0.7125
57600,0.094543,-0.75281,-0.51966,0.25699,-0.39668
57800,0.2881,-0.86711,-0.23305,0.17776,-0.35797
58000,0.19278,0.40281,0.45702,-0.31558,0.55039
58200,0.097307,-0.56728,0.5,-0.11016,0.76505
58400,0.12116,-0.38094,-0.16381,0.15223,1.9285
58600,-0.066286,0.1523,-0.46553,0.15946,1.6057
58800,0.13271,-0.040343,-0.2889,-0.15846,0.40188
59000,0.13471,0.4845,0.30874,-0.29964,-0.60573
59200,-0.47079,0.16171,0.45546,0.15186,-0.035015
59400,-0.51193,-0.26773,-0.40853,0.46922,1.2795
59600,-0.37544,0.38688,-0.79366,0.18883,2.134
59800,-0.2517,0.33272,-0.13827,-0.25989,2.1288
60000,-0.11092,-0.41342,0.65304,-0.32247,0.0043056
60200,-0.41954,0.53974,0.68947,0.017738,-1.0164
60400,-0.32272,0.044093,-0.3294,0.47556,-0.050901
60600,-0.21255,-0.16134,-0.88663,0.17372,1.0061
60800,-0.28224,-0.28598,-0.25946,-0.23687,1.0663
61000,-0.34656,-0.16463,0.59258,-0.41804,0.7269
61200,0.01855,-0.16532,0.61534,0.12594,-0.17435
61400,0.021014,-0.010632,0.19655,0.2457,-0.39044
61600,0.02572,0.86155,-0.39957,0.22802,-0.87358
61800,-0.52582,0.12691,-0.45201,-0.1478,-0.67898
62000,-0.20456,-0.44013,-0.3259,-0.31576,-2.0261
62200,0.13978,0.14441,0.4714,-0.087515,-2.0301
62400,0.22656,0.091523,0.78599,0.078096,-1.1553
62600,0.12782,-0.75814,0.17303,-0.059635,-0.55912
62800,-0.10139,0.4341,-0.64157,0.073684,-0.94179
63000,-0.018014,-0.0039455,-0.74726,0.1575,-0.42811
63200,-0.35231,-0.69174,0.11591,-0.077978,-0.30462
63400,-0.099832,-1.3035,0.4907,-0.23202,-0.68595
63600,0.046993,0.52419,0.34106,0.17294,-1.4649
63800,0.1605,0.8566,-0.062183,0.26743,-1.0904
64000,0.10192,0.1954,-0.33923,0.4204,-2.02
64200,-0.041737,-0.50302,-0.26545,-0.12419,-1.658
64400,-0.15115,-0.58667,0.044995,-0.16469,-0.51104
64600,-0.39144,-0.24943,0.22612,-0.20189,0.40076
64800,0.067289,0.25467,-0.011188,0.12084,1.8674
65000,0.09374,0.1449,0.1266,0.20665,1.8824
65200,-0.091077,-0.2365,0.20156,0.20607,0.27782
65400,0.32552,0.12231,-0.192,0.22132,-0.69088
65600,0.049952,0.74018,0.089304,-0.29641,-1.2757
65800,-0.098428,0.42232,0.059791,-0.35203,-1.5407
66000,-0.081088,-0.22251,-0.2059,0.045659,-2.149
66200,0.025246,0.41989,-0.17577,0.26087,-0.73199
66400,0.28923,-0.50002,0.096543,0.085048,0.36278
66600,0.38214,-0.55704,0.50375,-0.4521,0.3864
66800,0.36117,0.26987,0.39214,-0.17659,0.93552
67000,0.17299,0.68153,-0.20858,0.032076,1.5015
67200,-0.14575,0.26764,-0.66465,0.29381,1.1874
67400,-0.26185,-0.29152,-0.54563,0.091709,1.202
67600,-0.22809,-0.65109,0.091145,-0.1741,1.5515
67800,-0.28429,0.2428,0.51099,-0.39367,-0.075644
68000,-0.26192,0.55622,0.28083,-0.16246,-1.0347
68200,-0.39457,-0.4638,-0.32687,0.25315,-0.89932
68400,0.053255,0.14903,-0.513,0.27914,-0.59502
68600,-0.0318,-0.24176,0.2434,-0.083791,0.48458
68800,0.01132,-0.23029,0.58422,-0.17733,-0.16702
69000,0.11445,-0.18051,0.29485,-0.1447,-0.43518
69200,-0.33604,0.298,-0.25182,0.2314,0.074393
69400,0.048746,0.41119,-0.96114,0.093616,1.0986
69600,-0.1052,0.19436,-0.094694,-0.072963,2.174
69800,-0.1938,-0.74382,0.64522,-0.31445,0.66658
70000,0.072818,0.24037,0.41911,-0.18906,-0.15138
70200,0.23678,0.35132,-0.10723,0.063964,0.26707
70400,-0.023618,0.042695,-0.15113,-0.046929,0.16737
70600,-0.095395,-0.28479,-0.22005,0.053598,0.33303
70800,0.11961,-0.26425,-0.060981,0.024685,-0.14687
71000,0.15697,0.14457,0.3036,0.0013305,-0.99509
71200,0.48435,0.88747,0.26974,-0.17664,-1.3052
71400,0.46533,0.47388,0.22683,0.079077,-1.3929
71600,0.23362,-0.24486,-0.061686,-0.029858,-1.0654
71800,0.03513,-0.031029,-0.36361,-0.25407,-0.18554
