,0,1
265,-0.42767,0.51053
266,0.10644,0.82122
267,-0.44576,0.49131
268,0.02188,0.20271
269,-0.09022,0.34002
270,0.06733,-0.087429
271,0.17815,-0.021736
272,0.2527,0.028193
273,-0.015837,0.30484
274,0.17618,0.415
275,-0.17918,0.22146
276,-0.19419,0.35637
277,0.075958,0.12258
278,-0.089488,0.25253
279,0.018046,0.50859
280,0.13929,0.28529
281,0.14187,0.15573
282,0.15387,0.019343
283,0.33637,0.18218
284,0.29653,0.3442
285,0.24579,0.59925
286,0.034772,0.31935
287,-0.0039378,0.2802
288,0.25541,0.049407
289,-0.29879,0.3982
290,0.092935,0.15407
291,-0.52987,0.046621
292,0.19758,0.48631
293,-0.072835,0.36582
294,0.091739,0.38686
295,-0.041411,0.026795
296,-0.45553,0.17489
297,0.049976,0.17934
298,-0.66125,-0.11173
299,-0.50499,-0.053984
300,-0.36514,-0.12492
301,-0.47871,0.044805
302,-0.14814,-0.20846
303,-0.11877,0.14338
304,0.085598,0.37264
305,-0.18906,0.11698
306,0.11377,0.11958
307,-0.063025,0.17256
308,0.2158,0.33359
309,0.097298,0.27235
310,0.29721,0.25507
311,0.051982,0.059935
312,0.12436,0.028688
313,0.23998,0.14614
314,-0.33855,0.40076
315,-0.014782,0.30321
316,-0.42487,-0.039768
317,-0.1264,0.13135
318,-0.09534,0.026161
319,0.092414,-0.012077
320,-0.24142,-0.043436
321,-0.072149,-0.19574
322,-0.10052,-0.15115
323,-0.1045,-0.25649
324,-0.00034552,-0.20582
325,0.027702,-0.11017
326,-0.18339,-0.050364
327,-0.039854,-0.085311
328,-0.5221,-0.074719
329,0.15693,-0.040212
330,-0.37118,0.060628
331,-0.19942,0.27253
332,-0.25632,0.24516
333,-0.41107,0.095235
334,-0.17344,0.20673
335,-0.33501,0.052632
336,0.31534,-0.29375
337,0.09172,-0.57642
338,-0.33254,-0.63204
339,0.10087,-0.41552
340,-0.43581,-0.41654
341,-0.044156,-0.39375
342,-0.18944,-0.23268
343,0.10852,-0.30362
344,-0.13848,-0.29409
345,0.35567,-0.056433
346,-0.12986,0.075077
347,0.23035,0.50606
348,0.091053,0.27792
349,0.14132,0.22404
350,0.23585,0.030375
351,0.15889,0.017917
352,-0.023016,0.0031354
353,-0.28393,-0.34632
354,0.33182,-0.18937
355,-0.22969,0.0048963
356,0.16361,-0.15007
357,0.014149,0.039798
358,0.10594,0.18419
359,-0.16328,0.29707
360,-0.056901,0.31103
361,-0.11231,-0.26814
362,0.25611,-0.15793
363,-0.20271,0.0635
364,0.26472,0.07275
365,-0.013156,0.042771
366,0.084272,0.11904
367,-0.20955,0.28219
368,-0.035647,0.16744
369,-0.12568,-0.028314
370,-0.32427,-0.013871
371,-0.056828,-0.052769
372,-0.33228,0.15547
373,-0.08049,0.13409
374,-0.10694,0.19424
375,-0.23187,0.13408
376,-0.13431,0.020026
377,-0.059354,0.047055
378,-0.44026,0.066168
379,0.13349,-0.24375
380,0.27811,-0.048491
381,0.28644,0.11737
382,0.10454,0.015215
383,0.2394,0.34404
384,-0.13098,0.25276
385,0.48217,0.085842
386,0.17087,0.054099
387,0.41564,-0.016232
388,-0.048178,0.052551
389,0.26699,0.16871
390,-0.10905,0.019613
391,0.060306,0.13328
392,-0.1625,0.40829
393,-0.19124,0.37627
394,-0.28212,0.39722
