Time,x,y
629,-0.611405,0.123141
630,-0.62008,0.095732
631,-0.638395,0.079569
632,-0.65671,0.063406
633,-0.61481,0.079703
634,-0.57291,0.096
635,-0.583015,0.112855
636,-0.59312,0.12971
637,-0.64027,0.112903
638,-0.68742,0.096096
639,-0.657015,0.079781
640,-0.62661,0.063466
641,-0.631385,0.0536825
642,-0.63616,0.043899
643,-0.65176,0.070345
644,-0.66736,0.096791
645,-0.667515,0.0986505
646,-0.66767,0.10051
647,-0.67539,0.069105
648,-0.68311,0.0377
649,-0.683165,0.01921401
650,-0.68322,0.00072802
651,-0.70767,0.00344311
652,-0.73212,0.0061582
653,-0.715315,0.0228666
654,-0.69851,0.039575
655,-0.71754,0.01708175
656,-0.73657,-0.0054115
657,-0.742705,-0.00313333
658,-0.74884,-0.00085516
659,-0.72613,0.00465542
660,-0.70342,0.010166
661,-0.70354,0.00143185
662,-0.70366,-0.0073023
663,-0.70011,-0.01174265
664,-0.69656,-0.016183
665,-0.72342,-0.01209575
666,-0.75028,-0.0080085
667,-0.729525,-0.02220975
668,-0.70877,-0.036411
669,-0.71208,-0.049818
670,-0.71539,-0.063225
671,-0.728475,-0.03468985
672,-0.74156,-0.0061547
673,-0.724665,-0.03413735
674,-0.70777,-0.06212
675,-0.71594,-0.03292685
676,-0.72411,-0.0037337
677,-0.740795,-0.02643785
678,-0.75748,-0.049142
679,-0.74655,-0.0562015
680,-0.73562,-0.063261
681,-0.742705,-0.04533
682,-0.74979,-0.027399
683,-0.736545,-0.030382
684,-0.7233,-0.033365
685,-0.76862,-0.064985
686,-0.81394,-0.096605
687,-0.77855,-0.1024275
688,-0.74316,-0.10825
689,-0.76041,-0.108425
690,-0.77766,-0.1086
691,-0.80218,-0.0889295
692,-0.8267,-0.069259
693,-0.78628,-0.061535
694,-0.74586,-0.053811
695,-0.75443,-0.0734015
696,-0.763,-0.092992
697,-0.803895,-0.113206
698,-0.84479,-0.13342
699,-0.83597,-0.1089945
700,-0.82715,-0.084569
701,-0.822505,-0.0779325
702,-0.81786,-0.071296
703,-0.80889,-0.108723
704,-0.79992,-0.14615
705,-0.787165,-0.116527
706,-0.77441,-0.086904
707,-0.801425,-0.122862
708,-0.82844,-0.15882
709,-0.815405,-0.130575
710,-0.80237,-0.10233
711,-0.791145,-0.1042
712,-0.77992,-0.10607
713,-0.808405,-0.125865
714,-0.83689,-0.14566
715,-0.828575,-0.15096
716,-0.82026,-0.15626
717,-0.808595,-0.138635
718,-0.79693,-0.12101
719,-0.80004,-0.16525
720,-0.80315,-0.20949
721,-0.841175,-0.19027
722,-0.8792,-0.17105
723,-0.877855,-0.168485
724,-0.87651,-0.16592
725,-0.857015,-0.16328
726,-0.83752,-0.16064
727,-0.831305,-0.18882
728,-0.82509,-0.217
729,-0.85296,-0.230405
730,-0.88083,-0.24381
731,-0.876125,-0.240955
732,-0.87142,-0.2381
733,-0.87424,-0.209575
734,-0.87706,-0.18105
735,-0.87267,-0.174035
736,-0.86828,-0.16702
737,-0.88391,-0.19917
738,-0.89954,-0.23132
739,-0.87212,-0.20399
740,-0.8447,-0.17666
741,-0.878375,-0.21301
742,-0.91205,-0.24936
743,-0.873705,-0.26182
744,-0.83536,-0.27428
745,-0.87701,-0.2649
746,-0.91866,-0.25552
747,-0.88491,-0.24963
748,-0.85116,-0.24374
749,-0.848995,-0.24318
750,-0.84683,-0.24262
751,-0.867895,-0.25023
752,-0.88896,-0.25784
753,-0.882385,-0.27217
754,-0.87581,-0.2865
755,-0.889475,-0.297285
756,-0.90314,-0.30807
757,-0.884015,-0.311405
758,-0.86489,-0.31474
759,-0.87445,-0.31852
760,-0.88401,-0.3223
761,-0.883965,-0.29666
762,-0.88392,-0.27102
763,-0.87338,-0.286265
764,-0.86284,-0.30151
765,-0.883165,-0.32209
766,-0.90349,-0.34267
767,-0.8832,-0.31629
768,-0.86291,-0.28991
769,-0.88335,-0.318955
770,-0.90379,-0.348
771,-0.898285,-0.319815
772,-0.89278,-0.29163
773,-0.896755,-0.309115
774,-0.90073,-0.3266
775,-0.893675,-0.32788
776,-0.88662,-0.32916
777,-0.896265,-0.34919
778,-0.90591,-0.36922
779,-0.894915,-0.34338
780,-0.88392,-0.31754
781,-0.90169,-0.333445
782,-0.91946,-0.34935
783,-0.897035,-0.350125
784,-0.87461,-0.3509
