Time (ms),Upper body mq,Left Hand mq,Right Hand mq,Upper body mq.1,Left Hand mq.1,Right Hand mq.1
27874,144.028793,37.195763,12.744572999999999,8.452927,0.0,2.34006
27974,0.872677,0.07593899999999999,0.07257000000000001,4.320397,0.0,0.544592
28110,1.034614,0.33352,0.057622,57.272804,0.0,25.005848
28206,1.160433,0.2405,0.19733599999999998,36.327723999999996,0.0,21.305262
28300,1.549272,0.20532399999999998,0.407853,31.463051,0.0,7.158955000000001
28442,1.716437,0.207578,0.377732,54.275665000000004,0.0,25.939664999999998
28542,12.350174,1.5073159999999999,1.441326,15.861122,0.0,3.9622339999999996
28650,3.723063,0.33736,0.0,51.067146,0.0,18.581948999999998
28774,3.34375,0.636343,0.0,30.66975,0.0,12.364032
28874,1.6686880000000002,0.24464299999999997,0.0,10.806225,0.0,0.8228469999999999
28950,129.138123,37.161823,0.0,57.202797,0.0,23.841803
29070,125.80385600000001,34.397369,0.0,22.603395000000003,0.0,5.9786220000000005
29138,6.028679,2.093398,0.0,40.169113,0.0,22.677135
29238,3.4465730000000003,1.6820869999999999,0.0,26.238018,0.0,6.454911
29338,2.026586,0.77564,0.0,20.986263,0.0,8.167558
29450,1.619313,0.934026,0.0,20.39357,0.0,7.6634910000000005
29570,1.611588,0.21778699999999998,0.0,48.123802000000005,0.0,23.47715
29670,3.516564,1.536091,0.0,48.557243,0.0,23.157354
29774,13.010255,1.489984,0.0,22.47007,0.0,5.895474
29870,5.513632,0.23118699999999998,0.0,8.790399,0.0,2.3942900000000003
29938,8.125546,0.504505,0.0,5.8049800000000005,0.0,1.698248
30050,12.345355,0.411934,0.0,7.4763589999999995,0.0,1.8823299999999998
30170,31.892917999999998,1.6253309999999999,10.053997,12.937914,0.0,5.117476
30250,147.62979099999998,36.965365999999996,12.827389,15.236069,0.0,1.815727
30350,55.76481999999999,12.401982,8.132614,31.595463,0.0,10.932253
30470,116.38150800000001,24.409686999999998,17.062134,34.774807,0.0,10.034294000000001
30570,39.941296,1.372809,6.189401,16.920417999999998,0.0,6.6302460000000005
